わんりょく	腕力
じんめい	人命
じんめい	人名
しんめい	身命
しんめ	新芽
じんみん	人民
しんみょう	神妙
じんみゃく	人脈
しんみつ	親密
しんみ	親身
しんまい	新米
しんぽん	新本
しんぼく	親睦
しんぼく	神木
じんぼう	人望
しんぽう	新法
しんぽう	信奉
しんぼう	辛抱
しんぼう	心棒
しんぼう	信望
しんぽ	進歩
しんぺん	身辺
じんぶん	人文
しんぶん	新聞
じんぶつ	人物
しんぶつ	神仏
しんふぜん	心不全
しんぷく	振幅
しんぷう	新風
しんぷ	神父
しんぷ	新譜
しんぷ	新婦
しんぶ	深部
しんぴん	新品
しんぴょう	信憑
しんぴ	神秘
しんぴ	真否
しんび	審美
しんぱん	審判
しんぱん	侵犯
しんばん	新盤
しんはつばい	新発売
しんばし	新橋
しんぱい	心配
じんば	人馬
しんぱ	新派
しんねんかい	新年会
しんねん	新年
しんねん	信念
しんにん	新任
しんにん	信任
しんにゅうせい	新入生
しんにゅうがく	新入学
しんにゅう	進入
しんにゅう	浸入
しんにゅう	新入
しんにゅう	侵入
しんにちは	親日派
じんとく	人徳
しんとうあつ	浸透圧
じんどう	人道
じんとう	陣頭
しんどう	震動
しんどう	神童
しんどう	振動
しんとう	親等
しんとう	浸透
しんとう	新党
しんとう	心頭
しんど	震度
しんど	進度
しんでんず	心電図
しんでん	神殿
しんでん	新田
しんてん	進展
しんてん	親展
しんてん	伸展
じんてき	人的
しんてき	心的
じんてい	人定
しんてい	進呈
じんつうりき	神通力
じんつう	陣痛
しんつう	心痛
しんちんたいしゃ	新陳代謝
しんちょく	進捗
じんちょうげ	沈丁花
しんちょう	身長
しんちょう	深長
しんちょう	新調
しんちょう	慎重
しんちょう	伸長
じんちゅう	陣中
しんちゅう	進駐
しんちゅう	真鍮
しんちゅう	心中
じんちく	人畜
しんちく	新築
じんち	陣地
じんち	人知
しんち	新地
しんだん	診断
しんたくぎんこう	信託銀行
しんたく	神託
しんたく	信託
しんたいそう	新体操
しんたいせい	新体制
じんだい	甚大
じんたい	人体
しんだい	寝台
しんたい	進退
しんたい	身体
しんたい	神体
しんそつ	新卒
しんそこ	心底
じんそく	迅速
しんぞく	親族
じんぞう	腎臓
じんぞう	人造
しんぞう	心臓
しんそう	真相
しんそう	深窓
しんそう	深層
じんせん	人選
しんぜん	親善
しんぜん	神前
しんせん	震顫
しんせん	芯線
しんせん	神仙
しんせん	新鮮
しんせん	心線
しんせつ	親切
しんせつ	新雪
しんせつ	新説
しんせつ	新設
じんせき	人跡
しんせき	親戚
じんせいろん	人生論
しんせいひん	新製品
しんせいじ	新生児
じんせいかん	人生観
じんせい	人生
しんせい	神聖
しんせい	真正
しんせい	真性
しんせい	申請
しんせい	新生
しんせい	新星
しんせい	新制
しんずい	神髄
しんずい	真髄
しんずい	心髄
しんすい	進水
しんすい	浸水
しんすい	心酔
じんしん	人身
しんじん	新人
しんじん	信心
しんしん	津津
しんしん	新進
しんしん	心身
しんしょく	浸蝕
しんしょく	浸食
しんしょく	寝食
しんしょく	侵蝕
しんしょく	侵食
しんしょうひん	新商品
しんしょうしゃ	身障者
じんじょう	尋常
しんじょう	進上
しんじょう	身上
しんじょう	心情
しんじょう	信条
しんしょう	辛勝
しんしょう	心証
しんしょ	新書
しんしゅん	新春
しんしゅつ	進出
しんしゅつ	浸出
しんしゅつ	侵出
しんしゅく	伸縮
しんじゅう	心中
じんしゅ	人種
しんじゅ	真珠
しんしゅ	進取
しんしゅ	新酒
しんしゅ	新種
しんしゃく	斟酌
じんじゃ	神社
しんじゃ	信者
しんしゃ	深謝
しんしゃ	新車
しんじつ	真実
しんしつ	寝室
しんしき	新式
じんじか	人事課
じんじ	人事
しんじ	信じ
しんし	紳士
しんざん	新参
しんさん	辛酸
しんさつ	診察
しんさつ	新札
しんさく	新作
じんざい	人材
じんさい	人災
しんさい	震災
しんさ	審査
しんこん	新婚
しんこっちょう	真骨頂
じんこつ	人骨
しんこくざい	親告罪
しんこく	親告
しんこく	申告
しんこく	深刻
しんこきゅう	深呼吸
じんこう	人工
じんこう	人口
しんごう	信号
しんこう	進行
しんこう	親好
しんこう	親交
しんこう	新興
しんこう	振興
しんこう	侵攻
しんこう	信仰
じんけんひ	人件費
しんげんち	震源地
じんけん	人権
じんけん	人件
しんげん	震源
しんけん	親権
しんけん	真剣
しんけつ	心血
しんげき	進撃
しんけいつう	神経痛
しんけいしつ	神経質
しんけい	神経
しんぐん	進軍
しんくうかん	真空管
じんぐう	神宮
しんぐう	新宮
しんくう	真空
しんぐ	寝具
しんく	辛苦
しんく	真紅
しんぎん	呻吟
しんきん	親近
しんきん	心筋
しんきん	信金
しんきろく	新記録
しんきろう	蜃気楼
しんきょく	新曲
しんきょう	心境
しんきょう	信教
しんきょ	新居
しんきゅう	進級
しんきゅう	新旧
しんぎたい	心技体
しんぎじゅつ	新技術
しんぎかい	審議会
じんぎ	仁義
しんぎ	真偽
しんぎ	審議
しんき	新規
しんき	新奇
しんき	心機
しんかんせん	新幹線
しんかん	新館
しんかん	新刊
しんかぶ	新株
しんがた	新型
じんがさ	陣笠
じんかく	人格
しんがく	進学
しんがく	神学
しんがお	新顔
しんかいち	新開地
じんかいせんじゅつ	人海戦術
じんかい	塵芥
じんかい	人海
しんがい	心外
しんがい	侵害
しんかい	深海
じんか	人家
しんか	進化
しんか	臣下
しんか	真価
しんか	深化
しんおん	心音
しんおう	震央
しんえん	深遠
じんえい	陣営
しんえい	親衛
しんえい	新鋭
しんうち	真打ち
じんいん	人員
しんいり	新入り
じんい	人為
しんい	真意
しんい	深意
しんあん	新案
じんあい	塵埃
しんあい	親愛
じん	陣
じん	仁
しん	進
しん	芯
しん	真
しん	新
しん	心
しん	信
しん	伸
しわよせ	しわ寄せ
しわす	師走
しわざ	仕業
しわけ	仕訳
しわけ	仕分け
しわく	思惑
しわ	皺
じろん	持論
しろん	私論
しろん	史論
しろやま	城山
しろもの	代物
しろむく	白無垢
しろみ	白身
しろぼし	白星
しろばい	白バイ
しろっぽ	白っぽ
しろじ	白地
しろざとう	白砂糖
しろくろ	白黒
しろくま	白熊
しろくじちゅう	四六時中
しろうと	素人
しろう	屍蝋
しろ	白
しろ	城
しれん	試練
しれわた	知れ渡
じれい	辞令
じれい	事例
しれい	指令
しれい	司令
しるべ	標
しるし	印
しる	汁
しる	記
じりょく	磁力
しりょく	資力
しりょく	視力
しりょく	死力
しりょう	飼料
しりょう	資料
しりょう	試料
しりょう	死霊
しりょう	思量
しりょう	史料
しりょ	思慮
じりゅう	自流
じりゅう	時流
しりゅう	支流
しりめつれつ	支離滅裂
しりめ	後目
しりぬぐい	尻拭い
しりぬ	知り抜
しりつぼみ	尻つぼみ
じりつご	自立語
じりつ	自立
じりつ	自律
じりつ	而立
しりつ	私立
しりつ	市立
しりぞけ	退け
しりぞけ	斥け
しりぞ	退
しりごみ	尻込み
しりごみ	後込み
じりき	地力
じりき	自力
しりあい	知合い
しりあ	知り合
しり	尻
しり	私利
しらべ	調べ
しらは	白羽
しらぬい	不知火
しらたまこ	白玉粉
しらたま	白玉
しらじらし	白々し
しらさぎ	白鷺
しらこ	白子
しらけ	白け
しらくも	白癬
しらき	白木
しらかば	白樺
しらが	白髪
じらいげん	地雷原
じらい	地雷
しら	白
しら	知ら
しょんべん	小便
じょろん	序論
しょろう	初老
じょれつ	序列
しょるい	書類
じょりょく	助力
じょりゅう	女流
しょり	処理
しょよう	所要
しょよう	所用
しょゆうち	所有地
じょゆう	女優
しょゆう	所有
じょやく	助役
じょや	除夜
しょもつ	書物
しょもう	所望
しょめん	書面
じょめい	除名
じょめい	助命
しょめい	書名
しょめい	署名
しょむ	庶務
しょみん	庶民
じょまくしき	除幕式
じょまく	序幕
しょほうせん	処方箋
しょぼう	書房
しょほう	諸方
しょほう	処方
しょほ	初歩
じょぶん	序文
しょぶん	処分
しょひょう	諸表
しょひょう	書評
じょばん	序盤
しょはん	諸般
しょはん	初犯
しょはん	初版
しょばつ	処罰
じょのくち	序の口
しょねんど	初年度
しょにんきゅう	初任給
しょにち	初日
しょない	所内
しょとく	所得
じょどうし	助動詞
しょどう	書道
しょとう	諸島
しょとう	初頭
しょとう	初等
しょとう	初冬
しょてん	書店
しょてい	所定
しょて	初手
しょっぴ	しょっ引
しょっこう	職工
しょっけん	食券
しょっけん	職権
しょっくし	ショック死
しょっきり	初っ切り
しょっき	食器
しょっかん	食間
しょっかん	触感
しょっかく	触覚
じょちょう	助長
しょちょう	署長
しょちょう	所長
しょちょう	初潮
じょちゅう	女中
しょちゅう	書中
しょちゅう	暑中
しょち	処置
しょだん	初段
しょだな	書棚
しょたいめん	初対面
じょたい	除隊
しょだい	初代
しょたい	書体
しょたい	所帯
しょぞん	所存
しょぞく	所属
しょそく	初速
じょそう	除草
じょそう	女装
じょそう	助走
しょぞう	所蔵
しょそう	諸相
しょせん	緒戦
しょせん	所詮
じょせつ	除雪
じょせつ	序説
しょせつ	諸説
じょせき	除籍
しょせき	書籍
しょせいくん	処世訓
じょせい	女婿
じょせい	女声
じょせい	女性
じょせい	助成
じょせい	助勢
しょぜい	諸税
しょせい	書生
しょせい	処世
じょすうし	助数詞
しょしんしゃ	初心者
しょしん	書信
しょしん	所信
しょしん	初診
しょしん	初心
しょしん	初審
じょじょに	徐々に
じょじょう	叙情
じょしょう	序章
しょじょう	書状
しょしょう	書証
しょじょ	処女
しょしょ	諸処
しょしょ	処暑
しょじゅん	初旬
しょしゅん	初春
じょじゅつ	叙述
しょしゅつ	初出
しょしゅう	所収
しょしゅう	初秋
じょしゅ	助手
しょしゃ	書写
じょしだい	女子大
しょしき	諸式
しょしき	書式
じょじ	女児
じょじ	叙事
じょし	女子
じょし	女史
じょし	助詞
しょじ	諸事
しょじ	所持
しょし	諸氏
しょし	初志
じょさんぷ	助産婦
じょざん	除算
じょさん	除算
しょさん	所産
じょさいな	如才な
しょざいな	所在な
しょざいち	所在地
じょさい	如才
しょざい	所在
しょさい	書斎
しょさい	所載
しょさ	所作
しょこん	初婚
しょこく	諸国
じょこう	除光
じょこう	徐行
しょこう	初校
しょこ	書庫
じょげん	助言
しょげん	諸元
しょげん	緒言
しょけん	書見
しょけん	所見
しょけん	初見
じょけつ	女傑
しょけい	諸兄
しょけい	処刑
じょくん	叙勲
しょくん	諸君
しょくれき	職歴
しょくりん	植林
しょくりょうひん	食料品
しょくりょうなん	食糧難
しょくりょう	食糧
しょくりょう	食料
しょくよく	食欲
しょくよう	食用
しょくもつ	食物
しょくもく	属目
しょくもう	植毛
しょくむ	職務
しょくみんち	植民地
しょくぼう	嘱望
しょくほう	触法
しょくぶん	職分
しょくぶつ	植物
しょくひん	食品
しょくひ	食費
しょくはつ	触発
しょくばい	触媒
しょくば	職場
しょくのう	職能
しょくにん	職人
しょくにく	食肉
しょくどう	食道
しょくどう	食堂
しょくつう	食通
しょくちゅうどく	食中毒
しょくち	諸口
しょくたく	食卓
しょくたく	嘱託
しょくだい	燭台
しょくぜん	食膳
しょくぜん	食前
しょくせき	職責
しょくせいかつ	食生活
しょくせい	職制
しょくせい	植生
しょくしん	触診
しょくしょう	食傷
しょくしょう	職掌
しょくじゅう	職住
しょくじゅ	植樹
しょくしゅ	触手
しょくしゅ	職種
しょくじ	食事
しょくじ	植字
しょくし	食指
しょくご	食後
しょくぎょう	職業
しょくえん	食塩
しょぐう	処遇
しょくいん	職員
しょくい	職位
しょくあん	職安
しよく	私欲
しょく	属
しょく	食
しょく	職
しょく	嘱
しょぎょうむじょう	諸行無常
じょきょうじゅ	助教授
しょぎょう	諸行
しょぎょう	所業
じょきょ	除去
しょきゅう	初級
しょきちょう	書記長
しょき	書記
しょき	所期
しょき	初期
しょかん	書簡
しょかん	所管
しょかん	所感
しょかつ	所轄
じょがくせい	女学生
じょがい	除外
しょがい	所外
しょかい	初回
しょかい	初会
しょが	書画
しょか	書架
しょか	初夏
じょおう	女王
じょえん	助演
しょえん	初演
しょうわる	性悪
しょうわくせい	小惑星
しょうわ	唱和
しょうろん	詳論
しょうろく	抄録
じょうれん	常連
じょうれい	条例
じょうれい	常例
しょうれい	省令
しょうれい	奨励
じょうるり	浄瑠璃
じょうりょくじゅ	常緑樹
じょうりょく	常緑
しょうりょく	省力
しょうりょう	渉猟
しょうりょう	少量
しょうりょう	小量
しょうりょ	焦慮
じょうりゅう	蒸留
じょうりゅう	上流
しょうりゃく	省略
じょうりく	上陸
じょうり	条理
しょうり	勝利
じょうらん	擾乱
じょうらん	上覧
しょうらん	笑覧
しょうらん	照覧
しょうらい	招来
しょうらい	将来
じょうよく	情欲
しょうようじゅりん	照葉樹林
じょうようしゃ	乗用車
じょうよう	常用
じょうよう	乗用
しょうよう	慫慂
しょうよう	商用
じょうよ	譲与
じょうよ	剰余
しょうよ	賞与
しょうゆ	醤油
じょうやど	定宿
じょうやど	常宿
じょうやく	条約
しょうやく	生薬
しょうやく	抄訳
しょうや	庄屋
じょうもん	縄文
しょうもん	証文
しょうもう	消耗
しょうめん	正面
しょうめつ	消滅
しょうめい	正銘
しょうめい	証明
しょうめい	照明
じょうむ	常務
じょうむ	乗務
じょうみん	常民
じょうみゃく	静脈
しょうみ	正味
しょうみ	賞味
しょうまん	小満
しょうほん	抄本
しょうぼうしょ	消防署
じょうほう	情報
じょうほう	上方
しょうぼう	焼亡
しょうぼう	消防
しょうほう	商法
じょうほ	譲歩
しょうべん	小便
しょうへん	掌編
しょうへん	掌篇
じょうへき	城壁
しょうへき	障壁
しょうへい	招聘
しょうへい	将兵
じょうぶん	条文
しょうぶん	性分
じょうぶつ	成仏
しょうふだ	正札
しょうふく	承伏
しょうふく	妾腹
じょうぶ	丈夫
じょうぶ	上部
しょうぶ	勝負
しょうふ	娼婦
じょうひん	上品
しょうひん	賞品
しょうひん	商品
しょうびょう	傷病
しょうひょう	商標
しょうひぜい	消費税
しょうひしゃ	消費者
じょうび	常備
しょうび	賞美
しょうび	焦眉
しょうひ	消費
じょうはんしん	上半身
しょうばん	相伴
じょうはつ	蒸発
しょうばつ	賞罰
しょうばい	商売
しょうはい	賞杯
しょうはい	勝敗
じょうば	乗馬
しょうは	小破
じょうのう	上納
しょうのう	笑納
しょうのう	樟脳
しょうねんば	正念場
じょうねん	情念
しょうねん	少年
じょうねつ	情熱
しょうねつ	焦熱
しょうね	性根
じょうにん	常任
しょうにん	証人
しょうにん	昇任
しょうにん	承認
しょうにん	小人
しょうにん	商人
しょうにゅうどう	鍾乳洞
しょうに	小児
しょうなごん	少納言
じょうない	場内
じょうない	城内
しょうない	渉内
しょうとつ	衝突
しょうどく	消毒
じょうとうく	常套句
じょうとう	常套
じょうとう	上等
しょうどう	衝動
しょうとう	消灯
じょうど	浄土
じょうと	譲渡
しょうど	照度
しょうど	焦土
じょうてんき	上天気
しょうてん	衝天
しょうてん	焦点
しょうてん	昇天
しょうてん	商店
じょうでき	上出来
しょうちん	消沈
じょうちょう	冗長
しょうちょう	象徴
しょうちょう	省庁
しょうちょう	消長
しょうちょう	小腸
じょうちょ	情緒
しょうちょ	小著
じょうちゅう	常駐
しょうちゅう	焼酎
しょうちゅう	掌中
じょうちゃく	蒸着
しょうちくばい	松竹梅
じょうち	常置
じょうち	上智
しょうち	招致
しょうち	承知
じょうだん	冗談
じょうだん	上段
じょうたん	上端
しょうだん	商談
しょうたん	賞嘆
しょうだて	章立て
じょうたつ	上達
しょうだく	承諾
しょうたく	妾宅
じょうたい	状態
じょうたい	常態
しょうたい	正体
しょうたい	招待
しょうたい	小隊
しょうぞく	装束
しょうそく	消息
じょうぞう	醸造
じょうそう	情操
じょうそう	上層
しょうぞう	肖像
しょうそう	焦燥
しょうそう	尚早
じょうそ	上訴
しょうそ	勝訴
じょうせん	乗船
しょうせん	商船
しょうせつか	小説家
じょうぜつ	饒舌
じょうせつ	常設
しょうせつ	詳説
しょうせつ	章節
しょうせつ	小雪
しょうせつ	小説
しょうせつ	小節
じょうせき	定石
じょうせき	上席
しょうせき	硝石
じょうせい	醸成
じょうせい	状勢
じょうせい	情勢
しょうせい	招請
しょうせい	小生
じょうすう	定数
じょうすう	常数
しょうすう	少数
しょうすう	小数
じょうすいどう	上水道
じょうすい	浄水
じょうすい	上水
しょうすい	憔悴
しょうすい	小水
じょうず	上手
じょうしんこ	上新粉
じょうじん	常人
じょうしん	上申
しょうじん	精進
しょうしん	正真
しょうしん	焦心
しょうしん	焼身
しょうしん	昇進
しょうしん	小心
しょうしん	傷心
じょうしょく	常食
しょうしょく	少食
しょうしょく	小食
しょうしょく	小職
じょうじょう	嫋々
じょうじょう	情状
じょうじょう	上場
じょうじょう	上乗
じょうじょう	上々
じょうしょう	上昇
しょうじょう	賞状
しょうじょう	症状
しょうしょう	少々
しょうしょう	少将
じょうじょ	乗除
じょうしょ	情緒
しょうじょ	少女
しようしょ	仕様書
しょうしょ	証書
しょうしょ	小暑
じょうじゅん	上旬
しょうじゅん	照準
じょうじゅつ	上述
しょうじゅつ	詳述
しょうしゅつ	抄出
しょうしゅくしゃく	小縮尺
しょうじゅう	小銃
しょうしゅう	消臭
しょうしゅう	招集
しょうしゅう	召集
じょうじゅ	成就
じょうしゅ	城主
じょうしゃ	乗車
しょうじゃ	精舎
しょうしゃ	瀟洒
しょうしゃ	照射
しょうしゃ	抄写
しょうしゃ	小社
しょうしゃ	商社
しょうしゃ	勝者
じょうしつ	上質
しょうしつ	焼失
しょうしつ	消失
じょうしき	常識
しょうじき	正直
じょうじ	情事
じょうじ	常時
じょうし	情死
じょうし	上司
じょうし	上梓
しょうじ	生じ
しょうじ	障子
しょうじ	商事
しょうし	証紙
しょうし	笑止
しょうし	焼死
じょうざん	乗算
じょうさん	蒸散
じょうさん	乗算
しょうさん	賞賛
しょうさん	称賛
しょうさん	硝酸
しょうさん	消散
しょうさん	勝算
じょうざい	錠剤
じょうさい	城砦
しょうさい	詳細
しょうさい	商才
しょうさ	照査
しょうさ	少佐
しょうさ	小差
しょうこん	商魂
じょうこく	上告
しょうごく	生国
しょうこく	生国
しょうこく	小国
しょうこうねつ	猩紅熱
しょうこうぐん	症候群
じょうこう	条項
じょうこう	情工
じょうこう	乗降
じょうこう	上皇
しょうごう	称号
しょうごう	照合
しょうごう	商号
しょうこう	症候
しょうこう	焼香
しょうこう	消光
しょうこう	昇降
しょうこう	小康
しょうこう	将校
しょうこう	商工
じょうご	漏斗
じょうご	上戸
じょうこ	上古
しょうご	正午
しょうこ	証拠
じょうげん	上限
じょうげん	上弦
じょうけん	条件
しょうげん	証言
しょうけん	證券
しょうけん	証券
しょうけつ	焼結
しょうげきは	衝撃波
しょうげき	衝撃
じょうけい	情景
しょうけい	憧憬
しょうけい	象形
しょうけい	小計
じょうげ	上下
しょうぐん	将軍
じょうくう	上空
じょうきん	常勤
しょうきん	賞金
しょうきん	償金
しょうきょく	消極
じょうきょう	状況
じょうきょう	上京
しょうぎょう	商業
しょうきょ	消去
じょうきゅう	上級
しょうきゅう	昇給
しょうきゅう	昇級
じょうきゃく	乗客
しょうきゃく	焼却
しょうきゃく	消却
しょうきゃく	償却
しょうきぼ	小規模
じょうぎ	定規
じょうき	蒸気
じょうき	常規
じょうき	上記
じょうき	上気
しょうぎ	将棋
しょうき	正気
じょうかん	情感
じょうかん	上官
じょうかん	上巻
しょうかん	小寒
しょうかん	将官
しょうかん	召喚
しょうかん	償還
じょうかまち	城下町
しょうがっこう	小学校
しょうがつ	正月
じょうかそう	浄化槽
しょうがくぶ	商学部
しょうがくせい	小学生
しょうがくせい	奨学生
しょうがく	少額
しょうがく	小額
しょうがく	小学
しょうがく	奨学
しょうかく	昇格
じょうがい	場外
じょうかい	上界
しょうがい	生涯
しょうがい	障碍
しょうがい	障害
しょうがい	渉外
しょうがい	傷害
しょうかい	詳解
しょうかい	紹介
しょうかい	照会
しょうかい	商会
じょうか	浄化
しょうが	生姜
しょうか	消火
しょうか	消化
じょうおん	常温
しょうおん	消音
じょうおう	女王
しょうおう	照応
じょうえん	上演
しょうえん	招宴
しょうえん	小宴
じょうえい	上映
じょういん	乗員
じょういん	上院
しょういん	勝因
じょうい	譲位
じょうい	上位
しょうい	小異
しょうあく	掌握
じょうあい	情愛
じよう	滋養
じょう	錠
じょう	状
じょう	条
じょう	情
じょう	嬢
じょう	場
じょう	乗
じょう	上
しよう	試用
しよう	私用
しよう	止揚
しよう	使用
しよう	仕様
しょう	生
しょう	性
しょう	賞
しょう	証
しょう	章
しょう	称
しょう	省
しょう	招
しょう	小
しょう	将
しょう	升
しょいん	書院
しょいん	署員
しょいん	所員
じょい	女医
しょい	所為
しょあく	諸悪
じょ	除
じょ	恕
じょ	序
じょ	叙
しょ	書
しょ	署
しょ	所
しょ	処
じゅんろ	順路
じゅんれい	巡礼
じゅんりょう	順良
じゅんりょう	純良
じゅんり	純利
じゅんようかん	巡洋艦
じゅんよう	準用
じゅんまい	純米
じゅんぼく	純朴
じゅんぽう	順法
じゅんぽう	遵法
しゅんべつ	峻別
しゅんぶん	春分
じゅんふどう	順不同
じゅんぷう	順風
しゅんびん	俊敏
じゅんびきん	準備金
じゅんび	準備
じゅんばん	順番
しゅんぱつりょく	瞬発力
じゅんぱく	純白
じゅんのう	順応
じゅんとう	順当
しゅんとう	春闘
じゅんど	純度
じゅんちょう	順調
じゅんち	馴致
しゅんだん	春暖
じゅんたく	潤沢
じゅんたいじょし	準体助詞
じゅんたいげんじょし	準体言助詞
しゅんそく	駿足
しゅんそく	俊足
じゅんぞう	純増
じゅんせつ	順接
しゅんせつ	浚渫
しゅんせつ	春雪
じゅんせいてき	準静的
じゅんせい	純正
じゅんすい	純粋
じゅんしん	純真
じゅんしょく	純色
じゅんしょく	殉職
じゅんじょう	純情
じゅんじょ	順序
じゅんじゅんけっしょう	準々決勝
じゅんじゅん	諄々
じゅんじゅん	順々
しゅんじゅん	逡巡
しゅんじゅう	春秋
じゅんしゅ	遵守
じゅんじ	順次
じゅんし	巡視
じゅんし	殉死
しゅんじ	瞬時
じゅんさつ	巡察
じゅんさい	蓴菜
しゅんさい	俊才
じゅんさ	巡査
じゅんこう	巡行
じゅんこう	巡航
しゅんこう	竣工
じゅんけっしょう	準決勝
じゅんけつ	純血
じゅんけつ	純潔
じゅんぐり	順繰り
じゅんきん	純金
じゅんぎょう	巡業
じゅんきょ	準拠
しゅんきょ	峻拒
しゅんき	春季
じゅんかん	循環
じゅんかん	准看
しゅんかん	瞬間
じゅんかつゆ	潤滑油
じゅんかつ	潤滑
しゅんかしゅうとう	春夏秋冬
じゅんかいせき	順解析
じゅんかい	巡回
じゅんか	順化
じゅんか	純化
じゅんえん	順延
じゅんえん	巡演
じゅんえき	純益
しゅんえい	俊英
じゅんいつ	純一
じゅんい	順位
じゅんい	準尉
じゅんあい	純愛
じゅん	順
じゅん	純
じゅん	潤
じゅん	準
じゅん	淳
じゅん	殉
じゅん	准
しゅん	旬
じゅわき	受話器
しゅわ	手話
しゅろ	棕櫚
じゅれい	樹齢
しゅるい	種類
しゅりょく	主力
じゅりょうしょう	受領証
じゅりょう	受領
しゅりょう	首領
しゅりょう	狩猟
しゅりゅう	主流
じゅりつ	樹立
じゅり	受理
しゅらん	酒乱
しゅら	修羅
しゅよく	主翼
じゅよう	需要
じゅよう	受容
しゅよう	主要
じゅよ	授与
しゅやく	主役
じゅもん	呪文
じゅもく	樹木
しゅもく	種目
しゅむ	主務
じゅみょう	寿命
しゅみ	趣味
しゅぼう	首謀
しゅほう	手法
しゅほう	主峰
しゅほ	酒保
しゅべつ	種別
じゅふん	受粉
しゅぶん	主文
しゅふ	首府
しゅふ	主婦
しゅふ	主夫
しゅひん	主賓
じゅひょう	樹氷
しゅひつ	主筆
じゅひ	樹皮
しゅび	首尾
しゅび	守備
しゅひ	種皮
しゅひ	守秘
しゅはん	首班
しゅはん	主犯
じゅのう	受納
しゅのう	首脳
しゅにん	主任
じゅにゅう	授乳
じゅなん	受難
しゅとして	主として
しゅとけん	首都圏
しゅとく	取得
じゅどうたい	受動態
じゅどう	受動
しゅどう	手動
しゅどう	主導
しゅとう	種痘
しゅと	首都
しゅつるい	出塁
しゅつりょく	出力
しゅつりょう	出猟
しゅつりょう	出漁
しゅつらい	出来
しゅっぽん	出奔
しゅつぼつ	出没
しゅっぴん	出品
しゅっぴ	出費
しゅっぱん	出版
しゅっぱん	出帆
しゅっぱつ	出発
しゅつば	出馬
しゅつにゅうこく	出入国
しゅつにゅう	出入
しゅつどう	出動
しゅっとう	出頭
しゅってん	出店
しゅってん	出展
しゅってん	出典
しゅっちょう	出超
しゅっちょう	出張
しゅつだい	出題
しゅったい	出来
しゅっそう	出走
しゅっせきしゃ	出席者
しゅっせき	出席
しゅっせい	出生
しゅっせい	出征
しゅっせ	出世
しゅっすい	出水
しゅつじん	出陣
しゅっしん	出身
しゅっしょく	出色
しゅつじょう	出場
しゅっしょう	出生
しゅっしょ	出所
しゅっしょ	出処
しゅっしゃ	出社
しゅつじ	出自
しゅっし	出資
しゅっさん	出産
しゅつごく	出獄
しゅっこく	出国
しゅっこう	出航
しゅっこう	出稿
しゅっこう	出向
じゅつご	述語
じゅつご	術語
しゅっこ	出庫
しゅつげん	出現
しゅっけつ	出血
しゅっけつ	出欠
しゅつげき	出撃
しゅっきん	出金
しゅっきん	出勤
しゅつがん	出願
しゅっかん	出棺
じゅっかい	述懐
しゅっか	出荷
しゅっか	出火
しゅつえん	出演
じゅつ	術
しゅつ	出
しゅちょう	首長
しゅちょう	主潮
しゅちょう	主張
じゅちゅう	受注
しゅちゅう	手中
しゅちにくりん	酒池肉林
しゅだん	手段
じゅだく	受諾
じゅたく	受託
じゅたい	受胎
しゅだい	主題
しゅたい	主体
しゅぞく	種族
じゅぞう	受像
しゅぞう	酒造
しゅせきさん	酒石酸
しゅせき	首席
しゅせき	主席
しゅぜいほう	酒税法
じゅせい	授精
じゅせい	受精
しゅせい	守勢
じゅすい	入水
しゅすい	取水
じゅず	数珠
しゅじんこう	主人公
じゅしん	受診
じゅしん	受信
しゅじん	主人
しゅしん	主審
しゅしょく	主食
じゅしょう	授賞
じゅしょう	受賞
しゅじょう	衆生
しゅしょう	首相
しゅしょう	殊勝
しゅしょう	主将
しゅしょう	主唱
じゅじゅつ	呪術
しゅじゅつ	手術
しゅじゅつ	主述
しゅじゅう	主従
じゅじゅ	授受
しゅじゅ	種々
しゅしゃせんたく	取捨選択
しゅしゃ	取捨
しゅじく	主軸
しゅじい	主治医
じゅし	樹脂
しゅじ	主辞
しゅじ	主事
しゅし	趣旨
しゅし	種子
しゅし	主旨
じゅさん	授産
しゅざん	珠算
しゅさん	主餐
しゅざい	取材
しゅさい	主菜
しゅさい	主宰
しゅさい	主催
しゅさ	主査
しゅごしん	守護神
じゅこう	受講
しゅこう	酒肴
しゅこう	趣向
しゅご	守護
しゅご	主語
じゅけんせい	受験生
じゅけん	受験
じゅけん	受検
しゅけん	主権
じゅけい	受刑
しゅげい	手芸
しゅけい	主計
しゅくん	殊勲
しゅくん	主君
じゅくれん	熟練
じゅくりょ	熟慮
しゅくやく	縮約
しゅくめい	宿命
しゅくぼう	宿望
しゅくほう	祝砲
しゅくふく	祝福
しゅくはく	宿泊
しゅくはい	祝杯
しゅくば	宿場
じゅくねん	熟年
じゅくどく	熟読
しゅくでん	祝電
しゅくてん	祝典
しゅくてき	宿敵
しゅくちょく	宿直
じゅくち	熟知
じゅくたつ	熟達
しゅくだい	宿題
しゅくたい	縮退
しゅくぜん	粛然
じゅくせい	熟成
しゅくせい	粛清
しゅくせい	粛正
じゅくすい	熟睡
しゅくず	縮図
しゅくしょう	縮小
しゅくしょう	祝勝
しゅくじょ	淑女
しゅくしゅく	粛々
しゅくしゃく	縮尺
しゅくしゃ	縮写
しゅくしゃ	宿舎
しゅくじつ	祝日
